"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.231500644E1,6.494432424E1,2.539317154E1,-5.139514041E-1,8.299999833E-1,8.309999847E1,3.000000000E0,3.000000000E0
8.328364948E1,6.494432625E1,2.539320063E1,-5.139489128E-1,1.100000024E0,7.430000305E1,3.000000000E0,3.000000000E0
8.432285725E1,6.494432960E1,2.539322058E1,4.860544808E-1,1.159999967E0,7.040000153E1,3.000000000E0,3.000000000E0
8.528356713E1,6.494432952E1,2.539324438E1,4.860550424E-1,1.199999928E0,7.909999847E1,3.000000000E0,3.000000000E0
8.632114344E1,6.494432709E1,2.539327380E1,1.486053749E0,1.220000029E0,8.819999695E1,3.000000000E0,3.000000000E0
8.727560790E1,6.494432352E1,2.539328939E1,4.860511216E-1,1.289999962E0,8.940000153E1,3.000000000E0,3.000000000E0
8.829181078E1,6.494432508E1,2.539331462E1,4.860531168E-1,1.179999948E0,8.719999695E1,2.500000000E0,3.000000000E0
8.932455367E1,6.494432872E1,2.539334111E1,4.860569351E-1,1.059999943E0,8.390000153E1,2.500000000E0,3.000000000E0
9.030559328E1,6.494433618E1,2.539337086E1,4.860640974E-1,9.300000072E-1,6.700000000E1,3.000000000E0,3.000000000E0
9.132547244E1,6.494433304E1,2.539338344E1,4.860617475E-1,1.090000033E0,8.619999695E1,3.000000000E0,3.000000000E0
9.229291336E1,6.494433505E1,2.539340816E1,4.860641232E-1,1.059999943E0,8.830000305E1,3.000000000E0,3.000000000E0
9.331785936E1,6.494433551E1,2.539343289E1,-5.139348253E-1,9.899999499E-1,7.919999695E1,3.000000000E0,3.000000000E0
9.434037747E1,6.494433962E1,2.539345661E1,4.860693135E-1,1.120000005E0,7.500000000E1,2.500000000E0,3.000000000E0
9.532750074E1,6.494434129E1,2.539348008E1,1.486071370E0,1.009999990E0,7.750000000E1,3.000000000E0,3.000000000E0
9.628923370E1,6.494434314E1,2.539349257E1,1.486073277E0,1.039999962E0,7.990000153E1,3.000000000E0,3.000000000E0
9.729675928E1,6.494434138E1,2.539351118E1,1.486072269E0,1.029999971E0,8.759999847E1,3.000000000E0,3.000000000E0
9.833205085E1,6.494434054E1,2.539353146E1,4.860720923E-1,1.059999943E0,8.659999847E1,2.500000000E0,3.000000000E0
9.931667251E1,6.494434301E1,2.539355543E1,4.860748421E-1,1.000000000E0,8.259999847E1,3.000000000E0,3.000000000E0
1.003247546E2,6.494434595E1,2.539357396E1,4.860778407E-1,1.009999990E0,8.680000305E1,2.500000000E0,3.000000000E0
1.012846226E2,6.494434465E1,2.539360011E1,4.860774268E-1,1.059999943E0,8.369999695E1,2.500000000E0,3.000000000E0
1.023137596E2,6.494434494E1,2.539362643E1,4.860783777E-1,1.149999976E0,8.619999695E1,3.000000000E0,3.000000000E0
1.033002735E2,6.494434310E1,2.539365409E1,4.860775385E-1,1.120000005E0,8.319999695E1,3.000000000E0,3.000000000E0
1.042984167E2,6.494434674E1,2.539367463E1,4.860811994E-1,1.139999986E0,8.469999695E1,2.500000000E0,3.000000000E0
1.053268247E2,6.494434951E1,2.539370304E1,4.860843182E-1,1.079999924E0,8.640000153E1,2.500000000E0,3.000000000E0
1.063084935E2,6.494435110E1,2.539372760E1,4.860863322E-1,1.199999928E0,8.569999695E1,2.500000000E0,3.000000000E0
